date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:57	48258/48258	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-bc82%22	https://trendingtemplates.com/demos/techmag/landing.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/landing.html	(from )
19:26:00	120/120	---M-Z	200	added ('OK')	text/plain	date:Wed,%2008%20Jan%202020%2018:26:00%20GMT	https://trendingtemplates.com/robots.txt		(from )
19:26:01	34494/34494	---M--	200	added ('OK')	image/x-icon	etag:%225dfcad23-86be%22	https://trendingtemplates.com/demos/techmag/images/favicon.ico	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/favicon.ico	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:02	1776/1776	---M--	200	added ('OK')	image/png	etag:%225dfcad23-6f0%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-57x57.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:02	1652/1652	---M--	200	added ('OK')	image/png	etag:%225dfcad23-674%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-72x72.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:03	2582/2582	---M--	200	added ('OK')	image/png	etag:%225dfcad23-a16%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-76x76.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:03	6587/6587	---M--	200	added ('OK')	image/png	etag:%225dfcad23-19bb%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-114x114.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:03	1670/1670	---M--	200	added ('OK')	image/png	etag:%225dfcad23-686%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-120x120.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:04	3440/3440	---M--	200	added ('OK')	image/png	etag:%225dfcad23-d70%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-144x144.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:04	6089/6089	---M--	200	added ('OK')	image/png	etag:%225dfcad23-17c9%22	https://trendingtemplates.com/demos/techmag/images/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/apple-touch-icon-152x152.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:05	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcad39-6b4a%22	https://trendingtemplates.com/demos/techmag/css/font-awesome.min.css	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/css/font-awesome.min.css	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:07	146631/146631	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcad39-23cc7%22	https://trendingtemplates.com/demos/techmag/css/bootstrap.css	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/css/bootstrap.css	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:07	49637/49637	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcad39-c1e5%22	https://trendingtemplates.com/demos/techmag/style.css	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/style.css	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:07	1403/1403	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcad39-57b%22	https://trendingtemplates.com/demos/techmag/css/custom.css	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/css/custom.css	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:08	97952/97952	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-17ea0%22	https://trendingtemplates.com/demos/techmag/index.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:08	17218/17218	---M--	200	added ('OK')	image/png	etag:%225dfcad23-4342%22	https://trendingtemplates.com/demos/techmag/images/logo.png	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/images/logo.png	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:09	96029/96029	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-1771d%22	https://trendingtemplates.com/demos/techmag/index-1.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index-1.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:09	102885/102885	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-191e5%22	https://trendingtemplates.com/demos/techmag/index-2.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index-2.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:09	77038/77038	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-12cee%22	https://trendingtemplates.com/demos/techmag/index-3.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index-3.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:10	110183/110183	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-1ae67%22	https://trendingtemplates.com/demos/techmag/index-4.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index-4.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:10	92139/92139	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-167eb%22	https://trendingtemplates.com/demos/techmag/index-5.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/index-5.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:11	83968/83968	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-14800%22	https://trendingtemplates.com/demos/techmag/single.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/single.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:11	78786/78786	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-133c2%22	https://trendingtemplates.com/demos/techmag/single-1.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/single-1.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:11	82472/82472	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-14228%22	https://trendingtemplates.com/demos/techmag/single-review.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/single-review.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:12	63867/63867	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-f97b%22	https://trendingtemplates.com/demos/techmag/single-job.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/single-job.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:12	63782/63782	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-f926%22	https://trendingtemplates.com/demos/techmag/single-forum.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/single-forum.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
19:26:13	74151/74151	---MCZ	200	added ('OK')	text/html	etag:W/%225dfcad39-121a7%22	https://trendingtemplates.com/demos/techmag/category.html	C:/My%20Web%20Sites/BlogTemplate/trendingtemplates.com/demos/techmag/category.html	(from https://trendingtemplates.com/demos/techmag/landing.html)
